id,channel,sender_identifier,offer_text,calculated_score,verdict,flagged_indicators,suggested_action,reportable_to_placement_cell
1,Email,hr@nimbustech-solutions.com,"Dear Candidate, Congratulations! Following your interview on 12th Aug with our engineering panel, we are pleased to offer you the Software Intern position at Nimbus Tech Solutions starting 1st Sept. Please find the formal offer letter attached. Kindly confirm acceptance by replying to this email. Regards, HR Team, Nimbus Tech Solutions.",0,Safe,"None - matching corporate domain, formal interview stage referenced","No action needed, proceed with onboarding",FALSE
2,SMS,TC-CAREER,"Dear Applicant, this confirms your Data Analyst Intern interview with Trical Corp on 15-Aug at 11 AM via Google Meet. Link will follow via official email. - Trical Corp HR",0,Safe,"None - registered business sender ID, standard interview confirmation","No action needed, attend scheduled interview",FALSE
3,Email,careers.brightfuture2024@gmail.com,Congratulations!! You are SELECTED for Marketing Intern at BrightFuture Global Pvt Ltd. To confirm your seat you must pay a one-time registration fee of Rs.1500 via UPI within the next 2 hours or the offer will be cancelled. Reply with payment screenshot immediately.,80,High Risk,Free email domain for enterprise offer(+20); Upfront registration fee(+40); High urgency 2-hour deadline(+15); No interview mentioned(+30) - capped illustrative total 80,Do not pay any fee; block sender and report to placement cell,TRUE
4,SMS,+919812345670,Congrats you are DIRECTLY SELECTED for Internship no interview needed. Send Aadhaar card copy now and pay Rs.999 processing fee to activate your offer id today only.,95,High Risk,Personal mobile number(+20); Direct selection no interview(+30); Upfront fee(+40); Aadhaar requested before interview(+35); high urgency(+15) - capped illustrative total 95,"Do not respond, do not share ID proof, report to placement cell",TRUE
5,Email,support@quickhire-jobs.net,"Dear Candidate, You have been shortlisted for Finance Intern role. To process your advance stipend of Rs.8000 we require your bank account number and IFSC code immediately, no interview required.",65,High Risk,Domain mismatch/unverifiable(+25); bank/IFSC advance stipend request(+35); direct selection no interview(+30) - illustrative capped 65,"Never share bank details, verify company independently, report to placement cell",TRUE
6,Email,admissions@stellarcorp-official.com,"Dear Selected Candidate, As part of our onboarding process, a refundable seat confirmation deposit of Rs.500 is required to reserve your internship slot. This amount will be refunded in your first stipend cycle. Please pay via the link in your onboarding portal.",30,Suspicious,Refundable deposit/caution money framing(+30),Verify directly with company HR via official channels before paying any deposit,FALSE
7,Email,hr@meridiantech.co.in,"Dear Candidate, Congratulations on clearing all three rounds of interviews for the Software Development Intern role at Meridian Technologies. As a final step in our verified onboarding process, please share a scanned copy of your Aadhaar/PAN card for background verification and payroll setup.",5,Safe,Aadhaar/PAN requested after verified interview - standard onboarding(+5),Proceed with document submission through official company portal,FALSE
8,Email,careers@tcs-careers.co,"Dear Applicant, We are pleased to inform you that TCS has selected you for the Graduate Internship Program. Kindly complete your registration on our portal within 3 days.",25,Suspicious,Domain spoofing / look-alike domain not matching official corporate domain(+25),Verify sender domain against company's official website before proceeding,FALSE
9,SMS,INFOTECH-HR,Your internship offer with Infotech Solutions is ready! Click here to accept: bit.ly/infotech-offer2024 and complete formalities within 24 hours.,25,Suspicious,Shortened/obscured link for offer acceptance(+25),Do not click shortened links; verify offer directly on official company website,FALSE
10,SMS,+919845123456,Congrats! You got the internship.,15,Suspicious,"Low information/short input, no verifiable details(+15)",Request full offer details in writing before responding,FALSE
11,Email,hr@aravalitech.com,"Dear Candidate, We are delighted to offer you the Business Analyst Intern position at Aravali Technologies. Kindly confirm your acceptance and submit signed offer letter by Friday 5 PM to complete onboarding.",15,Safe,Legitimate standard business deadline urgency(+15),"No action needed, respond by the stated deadline",FALSE
12,Email,hr@primeglobalconsult.com,"Dear Fresher Candidate, We are excited to offer you an internship with a guaranteed stipend of Rs.1,50,000 per month for just 2 hours of work daily. Limited seats available, apply now!",30,Suspicious,Unrealistic high stipend for entry-level/minimal effort role(+15); vague/unverifiable company details(+15),Independently verify company legitimacy and role details before proceeding,FALSE
13,SMS,+917712345678,Congrats you are hired for Data Entry Internship. Join our Telegram group t.me/taskkit_jobs and purchase the starter task kit for Rs.1200 to begin earning daily payouts.,65,High Risk,Third-party messaging platform redirect(+25 est.); task-kit purchase fee framed as upfront payment(+40) - illustrative capped 65,"Do not join external groups or pay for task kits, report to placement cell",TRUE
14,Email,recruiter@synergystaffing-partners.com,"Hello, I am a recruiter with Synergy Staffing Partners. We are hiring interns on behalf of one of our reputed clients in the IT sector for a Software Intern role. Further client details will be shared after initial screening call.",25,Suspicious,Third-party/generic staffing domain(+15); vague/unverifiable company details(+15) - illustrative capped 25,Ask recruiter to disclose end client name and verify staffing agency credentials,FALSE
15,Email,volunteer@greenearthfoundation.org,"Dear Candidate, Green Earth Foundation is a non-profit organisation working on sustainability projects. We would like to offer you an unpaid Volunteer Intern position (no stipend, no fee) subject to a short video interview next week. Please share your availability.",15,Safe,"Vague/unverifiable company details for lesser-known non-profit(+15), but zero fee, genuine interview, transparent unpaid framing","No action needed, proceed with scheduled interview",FALSE
16,Email,hr@globalremoteworks.io,"Congratulations! You are selected for our Remote International Internship. Stipend will be paid in USDT crypto. To activate your payment wallet and receive your first stipend, a one-time wallet activation fee of $50 is required.",75,High Risk,Unrealistic/unverifiable international offer(+15); upfront activation fee framed as payment(+40); vague company details(+15) - illustrative capped 75,"Do not send any cryptocurrency or fees, report to placement cell",TRUE
17,SMS,+919900112233,URGENT: This is your official college placement desk. Your internship interview slot has been confirmed. Send Aadhaar number immediately for verification before 5 PM today or slot will be cancelled.,60,High Risk,Impersonation of official desk from personal number(+20); Aadhaar requested before interview(+35); high urgency(+15) - illustrative capped 60,"Verify directly with actual placement cell office, do not share ID proof, report as impersonation",TRUE
18,Email,hrteam2024@outlook.com,"Dear Candidate, HR Team is pleased to offer you an internship position with immediate joining. Kindly revert with your documents to proceed further.",35,Suspicious,Free/generic email domain(+20); missing company identification(+15) - illustrative capped 35,Ask sender to identify the hiring company by name before sharing any documents,FALSE
19,SMS,+918811223344,"Sorry, you did not qualify for the regular internship program. However, you can still get a GUARANTEED internship certificate by enrolling in our paid training program for Rs.3000.",55,High Risk,Rejection-to-paid-training pivot scam pattern with upfront fee(+40); vague/unverifiable offer(+15) - illustrative capped 55,"Do not pay for guaranteed placement training, report to placement cell",TRUE
20,Email,talent.acquisition@novacore-systems.com,"hii candidate, we is pleased to inform u that your profile is shortlist for internship role at our esteem organisation. plz confirm ur interest asap within today itself as seats is limited.",50,Suspicious,Poor grammar/inconsistent casing(+10); high urgency language(+15); vague role details(+15); free-sounding informal domain pattern(+10 est.) - illustrative capped 50,Request formal written offer with complete role details before responding,FALSE
21,Email,careers@finwise-startup.com,"Dear Candidate, FinWise is a fintech startup based in Bengaluru. Please find attached the complete Job Description for the Product Intern role along with a link to our technical assessment: finwise-startup.com/assessment. No fee is required at any stage.",10,Safe,"Minor informal startup domain pattern(+10 est.) but full JD, genuine assessment link, explicit no-fee statement","No action needed, proceed with assessment on official domain link",FALSE
22,Email,logistics@apexcorp-hr.com,"Dear Selected Intern, To ship your company laptop and starter kit to your address, kindly pay a refundable courier and handling deposit of Rs.799. This will be adjusted in your first salary.",30,Suspicious,Refundable equipment/courier deposit framing(+30),Verify equipment dispatch policy directly with company HR before paying any deposit,FALSE
23,SMS,+919123456780,This is HDFC Bank HR. You have been selected for our Summer Internship Program. Please reply with your details to proceed.,25,Suspicious,"Major bank identity claimed but sent from standard personal number, sender/identity mismatch(+20 est.); vague details(+5 est.) - illustrative capped 25",Verify claim directly through the bank's official careers portal or helpline before replying,FALSE
24,SMS,NOVACR-HR,"Your technical assessment originally scheduled for 20-Aug has been rescheduled to 22-Aug, 10 AM due to a system upgrade. Please check your email for the updated link. - NovaCore Systems HR",0,Safe,"None - registered business sender ID, standard corporate rescheduling notice","No action needed, check email for updated assessment link",FALSE
25,Email,admissions@elitecareerpath.org,CONGRATULATIONS! You are guaranteed 100% placement in a top MNC after completing our certified internship program. Registration fee of Rs.5000 is mandatory to lock your guaranteed placement seat today.,70,High Risk,Guaranteed placement scam framing(+15 est.); upfront mandatory registration fee(+40); high urgency 'today'(+15) - illustrative capped 70,"Do not pay any registration fee, guaranteed placement claims are a major red flag, report to placement cell",TRUE
